DATA_YM,AREA_ID,AREA_NM,DIST_CD,DIST_NM,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202211,10064,문산시외버스터미널,41480,파주시,327.0,105.0,51.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,5.0,4.0,562028,523984,963.669
202303,9838,남중동_1,45140,익산시,92.0,34.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,99386,85527,211.954
202306,9882,장안구청,41111,수원시 장안구,113.0,7.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238704,238704,1259.135
202210,10272,보은읍,43720,보은군,350.0,133.0,42.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,0,0,478.86
202211,9292,선릉역_2,11680,강남구,257.0,26.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1783070,867043,4480.166
202210,10086,안양중앙시장,41171,안양시 만안구,114.0,62.0,18.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,272746,164316,1094.179
202303,9861,요촌동,45210,김제시,438.0,233.0,47.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,8.0,11.0,110289,103886,554.552
202207,10133,강화군청,28710,강화군,341.0,153.0,57.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,9.0,1.0,152146,151069,828.035
202303,9904,흥덕초등학교앞,41463,용인시 기흥구,174.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,322262,303820,1116.978
202306,9358,매봉역,11680,강남구,114.0,16.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327429,230605,785.407
202211,10115,만수2동,28200,남동구,96.0,49.0,16.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,237052,232040,602.178
202307,9859,고창공용버스터미널_1,45790,고창군,214.0,73.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,29488,27626,629.821
202408,9185,종묘앞_1,11110,종로구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
202303,9241,여의도역_2,11560,영등포구,28.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3004033,34511,14834.384
202407,9237,당산역_1,11560,영등포구,45.0,13.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,166172,125524,727.753
202409,9791,신대지구,46150,순천시,57.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,272364,29433,1147.121
202303,10261,충주시청,43130,충주시,232.0,11.0,30.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,17076,17076,238.769
202301,9399,신철원터미널,42780,철원군,353.0,84.0,62.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,0,0,828.916
202303,9735,대인시장,29110,동구,251.0,83.0,48.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,42.0,3.0,202796,175805,774.361
